i	n	method	time	mu_1	mu_2	mu_3	mu_4
1	100	gibbs	11.397	-0.157721341049155	4.74969436986669	9.41821787629993	18.9791558601585
1	100	cavi	0.0460000000000012	0.0268122513954737	4.84232983968295	9.59287151440827	19.2087398503998
2	100	gibbs	11.358	0.13458342168431	4.72694595498355	9.63054129673311	19.2715767851513
2	100	cavi	0.0459999999999994	-0.00639644893958494	4.65971863251297	9.5208054353346	19.3547621380568
3	100	gibbs	11.331	0.136551049972347	4.84882539175883	9.70447157914695	19.0134058044383
3	100	cavi	0.0459999999999994	0.0427153271055714	4.9031986535392	9.70763533395789	18.9842974688534
4	100	gibbs	11.338	0.381271562666353	4.56917016326179	9.75303973831775	19.8480601514979
4	100	cavi	0.0459999999999994	0.0301363242941845	4.69498109916545	10.0499808347713	19.3119390870877
5	100	gibbs	11.409	-0.203770815575724	4.89031521304018	10.0527723596295	19.289195280428
5	100	cavi	0.0440000000000005	-0.336611310644001	4.72001585659559	9.92613505076261	19.5181092388787
6	100	gibbs	11.403	0.0179575592317253	4.56832298130245	10.0866009892277	19.1484362957013
6	100	cavi	0.0459999999999994	0.0597840560606452	4.65773038874039	9.71404873804032	19.339071516387
7	100	gibbs	11.357	-0.114957911486085	5.00360702772269	9.90034039565449	19.4974626098458
7	100	cavi	0.048	0.0441032849264522	4.56859495245605	9.66248684998862	19.4141289405685
8	100	gibbs	11.374	0.355270446878858	4.16056183202667	9.57280919567267	19.3167344086305
8	100	cavi	0.048	0.43525813273855	4.53302734945949	9.41656377074731	19.3629760761878
9	100	gibbs	11.39	-0.458160286250971	4.67908504118916	9.34323445919279	19.4706229451766
9	100	cavi	0.0470000000000006	-0.0306125227204272	4.74107306492736	9.68138892964732	19.4381187699342
10	100	gibbs	11.395	-0.0713418885679674	4.70035096770715	9.26359015190697	19.4093615379846
10	100	cavi	0.0470000000000006	0.210965783351694	4.45899320338268	9.42083802667837	19.3723987808427
11	100	gibbs	11.36	-0.279888684217539	5.09684974747262	9.79786614386106	18.7164260205715
11	100	cavi	0.0459999999999994	-0.217374383728247	4.92418329308154	9.41796561161218	19.1083819978989
12	100	gibbs	11.309	-0.0931958701053257	4.30699273484443	9.65192608898341	19.3268636019941
12	100	cavi	0.0470000000000006	-0.120459264134698	4.81446252131936	9.48002159846575	18.9355252294063
13	100	gibbs	11.351	-0.324834958376392	3.97435667841983	9.60943601383806	19.1515361929351
13	100	cavi	0.0449999999999999	-0.142333233971357	4.49644124441976	9.69884354661004	19.3664820535655
14	100	gibbs	11.383	-0.0607923817299724	4.76808428219332	10.1785381907774	19.2322864827702
14	100	cavi	0.0449999999999999	0.0481032263801824	4.49549420616673	10.0372942833278	19.3673180509755
15	100	gibbs	11.391	0.228694221895178	5.03923925028506	9.75347217910296	19.2286548066642
15	100	cavi	0.0459999999999994	0.120038312355764	4.89127674223035	9.54694359409919	19.1708374456612
16	100	gibbs	11.768	0.226661798965193	4.92107046727788	9.30995795825381	19.3922114748257
16	100	cavi	0.0459999999999994	0.0176226131405033	5.06243155837806	9.1941548366391	19.1972585712765
17	100	gibbs	11.559	0.306617527182431	5.15423198460342	9.84787799865549	19.3688481306716
17	100	cavi	0.0459999999999994	0.0181354169700678	5.08355296010453	9.67227333783352	19.3126027390009
18	100	gibbs	11.501	-0.176811012319764	5.07480463201487	10.1068853072817	19.3485497763478
18	100	cavi	0.043000000000001	-0.181979805132285	4.59572974546881	10.0553152640026	19.2285240579072
19	100	gibbs	11.451	0.00401605424607943	4.83830210335729	9.13335262951574	19.2902955670407
19	100	cavi	0.0470000000000006	0.0887177458515324	4.88145359733569	9.07118406586384	19.1932626159625
20	100	gibbs	11.484	0.600297935781992	5.02008798435276	9.92497983046909	19.0934064635348
20	100	cavi	0.0460000000000012	0.377652218309588	5.02329377263851	9.52310378165765	19.3424326853087
21	100	gibbs	11.467	0.275350026387521	4.96679733235987	9.80978949332495	18.9685890026195
21	100	cavi	0.0470000000000006	0.142244072827543	4.93461076818011	9.66795994802107	18.5766173345762
22	100	gibbs	11.525	0.823021000044001	5.36571069017358	9.65482936850642	19.4248391567743
22	100	cavi	0.0489999999999995	0.208555697670855	4.72228645088661	9.50511956778672	19.424307094192
23	100	gibbs	11.464	-0.00372433067258575	4.5706913330088	9.2871094384343	19.3915487240465
23	100	cavi	0.0469999999999988	-0.0672686582941396	4.75195576945636	9.41829971148043	19.3536106320516
24	100	gibbs	11.497	-0.147951422132514	4.73636552902238	9.48215581681623	19.1048985530804
24	100	cavi	0.0459999999999994	-0.189686406639156	4.6479958095953	9.32755332657915	19.1789923842719
25	100	gibbs	11.438	0.105388621310676	4.47543103229871	9.21213514492243	19.4210835984883
25	100	cavi	0.0469999999999988	-0.126182332396068	4.45800354712156	9.30868338114686	19.1477143038346
26	100	gibbs	11.412	0.146301671572979	3.98854524122294	9.19284939722371	19.1589669360078
26	100	cavi	0.0490000000000013	-0.0625472181961465	4.35501398206107	9.25856257456939	19.5131301861498
27	100	gibbs	11.456	0.0794118342974685	4.61538852965103	9.43845091556594	19.6664388825436
27	100	cavi	0.048	-0.354384162212051	4.93608172818773	9.49016992711269	19.5949517853394
28	100	gibbs	11.427	0.0754180257340333	4.00768651203286	9.9759902476615	18.9938350520648
28	100	cavi	0.0459999999999994	0.210740398181623	4.36259606248707	9.55624414005051	18.9778623971812
29	100	gibbs	11.458	0.221140742487582	4.76870093367769	9.67111493968454	19.2022934414033
29	100	cavi	0.0449999999999999	0.306427764912022	4.67551913289425	9.73365507287796	19.1341502589157
30	100	gibbs	11.469	0.160609031166264	4.61117212785783	9.35047833438709	19.2874250234795
30	100	cavi	0.0470000000000006	0.251421353643113	4.69596009455112	9.47207959605005	19.3855048848914
