i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
1	1000	gibbs	78.213	-0.0948035609695908	4.87551461726942	9.90996492612472	20.0227613200599	-0.220992767951496	4.73488608780097	9.78152463244922	19.8952112752526	0.0302351530975369	5.01692298866409	10.0336060921128	20.1486101039943	-0.0948035609695908	-0.12448538273058	-0.0900350738752795	0.0227613200598995	TRUE	TRUE	TRUE	TRUE	TRUE
1	1000	cavi	0.0529999999999973	-0.0954022813817745	4.8755753323729	9.90987575793153	20.0221166734904	-0.216645082692107	4.74841420343179	9.78949366485325	19.8955992175143	0.0258405199285576	5.002736461314	10.0302578510098	20.1486341294665	-0.0954022813817745	-0.1244246676271	-0.0901242420684696	0.0221166734904017	TRUE	TRUE	TRUE	TRUE	TRUE
2	1000	gibbs	77.984	-0.0615716487903983	4.85318805971491	9.92988175544037	19.9660557276964	-0.186518022197782	4.71493730883514	9.79917045421716	19.848003976112	0.0641708593305544	4.99373481097741	10.0598391027946	20.08715936732	-0.0615716487903983	-0.14681194028509	-0.0701182445596302	-0.0339442723036001	TRUE	FALSE	TRUE	TRUE	FALSE
2	1000	cavi	0.0520000000000067	-0.0607445455285045	4.85411653792496	9.92954644028914	19.9665280867902	-0.181545804079429	4.72610039522981	9.80232090188463	19.8470247776637	0.06005671302242	4.98213268062011	10.0567719786937	20.0860313959168	-0.0607445455285045	-0.14588346207504	-0.0704535597108595	-0.0334719132098016	TRUE	FALSE	TRUE	TRUE	FALSE
3	1000	gibbs	77.821	-0.0899410866941307	4.88369734553079	9.96897264526394	19.9228154905199	-0.210896233140042	4.74948067270751	9.8256751151543	19.8050041385399	0.0312260774065915	5.01543794773635	10.1118856625183	20.0400346166249	-0.0899410866941307	-0.11630265446921	-0.0310273547360609	-0.0771845094801016	TRUE	TRUE	TRUE	TRUE	TRUE
3	1000	cavi	0.054000000000002	-0.0895746627565582	4.8844194924197	9.96822169355643	19.9227540219427	-0.208677546045827	4.76157376499083	9.83053013778152	19.8047758859191	0.0295282205327108	5.00726521984857	10.1059132493313	20.0407321579664	-0.0895746627565582	-0.1155805075803	-0.0317783064435702	-0.0772459780572987	TRUE	TRUE	TRUE	TRUE	TRUE
4	1000	gibbs	77.886	0.0958042105847906	4.93169874956559	10.0245554748012	19.9030031708552	-0.0260592546860394	4.80637313985767	9.89613267201673	19.7752651965453	0.217100893546528	5.05563544037967	10.1557203801916	20.0346652722081	0.0958042105847906	-0.06830125043441	0.0245554748012005	-0.0969968291447998	TRUE	TRUE	TRUE	TRUE	TRUE
4	1000	cavi	0.0490000000000066	0.0955861164276879	4.93212314958538	10.0248468135892	19.9030652595185	-0.0224068338063635	4.81146878390126	9.89811197899848	19.7723985930997	0.213579066661739	5.0527775152695	10.1515816481799	20.0337319259372	0.0955861164276879	-0.0678768504146197	0.0248468135891997	-0.0969347404815011	TRUE	TRUE	TRUE	TRUE	TRUE
5	1000	gibbs	77.952	0.628407595410094	6.60288510737297	14.7619900669516	19.9079931383183	-0.12609358477416	4.76976252243619	9.81636492839676	19.7342300573532	1.45222080017525	8.51471634797825	19.801015344202	20.1778431145824	0.628407595410094	1.60288510737297	4.7619900669516	-0.0920068616816998	TRUE	TRUE	TRUE	TRUE	TRUE
5	1000	cavi	0.0499999999999972	-0.0230242736794045	4.87758376849101	9.93269793173683	19.8600982510464	-0.143968089665016	4.75652227763736	9.80352946845563	19.7358882979436	0.0979195423062065	4.99864525934465	10.061866395018	19.9843082041492	-0.0230242736794045	-0.12241623150899	-0.0673020682631709	-0.139901748953601	TRUE	FALSE	TRUE	FALSE	FALSE
6	1000	gibbs	77.773	-0.0185653317058615	4.98592306744909	9.94654478818649	19.9164372260535	-0.145911158585848	4.85672161315605	9.81638191266169	19.7927612234925	0.11060697058324	5.1140868291993	10.0773148206919	20.0398101089344	-0.0185653317058615	-0.0140769325509096	-0.0534552118135103	-0.0835627739465004	TRUE	TRUE	TRUE	TRUE	TRUE
6	1000	cavi	0.0529999999999973	-0.0185875980780994	4.98285464097434	9.94707057955204	19.916287504211	-0.14299741475606	4.86226895634728	9.82149321378416	19.7918273797509	0.105822218599861	5.10344032560139	10.0726479453199	20.0407476286712	-0.0185875980780994	-0.0171453590256601	-0.0529294204479598	-0.0837124957890012	TRUE	TRUE	TRUE	TRUE	TRUE
7	1000	gibbs	77.736	-0.113001050505807	5.07834818471216	10.0479909971051	19.9518812505204	-0.237598395662295	4.94324485050172	9.91958028349304	19.8235563622625	0.0125830083273577	5.21267312581359	10.1754446027537	20.0765269261858	-0.113001050505807	0.0783481847121603	0.0479909971050994	-0.0481187494795989	TRUE	TRUE	TRUE	TRUE	TRUE
